,gabor_mean_0,gabor_std_0,gabor_energy_0,gabor_mean_1,gabor_std_1,gabor_energy_1,gabor_mean_2,gabor_std_2,gabor_energy_2,gabor_mean_3,gabor_std_3,gabor_energy_3,gabor_mean_4,gabor_std_4,gabor_energy_4,gabor_mean_5,gabor_std_5,gabor_energy_5,gabor_mean_6,gabor_std_6,gabor_energy_6,gabor_mean_7,gabor_std_7,gabor_energy_7,gabor_mean_8,gabor_std_8,gabor_energy_8,gabor_mean_9,gabor_std_9,gabor_energy_9,gabor_mean_10,gabor_std_10,gabor_energy_10,gabor_mean_11,gabor_std_11,gabor_energy_11,gabor_mean_12,gabor_std_12,gabor_energy_12,gabor_mean_13,gabor_std_13,gabor_energy_13,gabor_mean_14,gabor_std_14,gabor_energy_14,gabor_mean_15,gabor_std_15,gabor_energy_15,font_type
0,55.03762856080737,99.78510303867715,15761230.0,34.41712388649475,84.57883278802468,7558231.0,27.424150844680646,76.91890604552795,5762138.0,22.644191185581914,70.79056598137761,3825866.0,48.653391802398424,97.50909382872901,9837166.0,29.12581920942848,79.67382435182579,3932637.0,21.941987581060427,70.48359017972389,2376586.0,16.8417566190745,62.54217559222584,1491095.0,43.43253741515331,93.38172605815316,8474037.0,27.983954853987967,78.31616477245574,3692757.0,17.193946111164653,62.98735477136517,1839806.0,12.13810046674285,53.493017596755216,1354861.0,47.147951632223155,96.74028651427824,8188869.0,29.079322190249343,79.75354582778516,3445456.0,21.46516638900745,69.85845203335289,2086282.0,16.623798722308656,62.19021032088301,1372695.0,0.0
0,58.21227850366923,101.85642917608678,16062598.0,37.00871528686098,86.67796713757338,9042374.0,25.30543087662293,74.2505627762053,5211924.0,21.693242210626316,69.22287330389568,4223651.0,51.943004708733184,99.76253509549775,10212319.0,29.61542247800526,80.09467933865702,4427320.0,21.51509513843951,69.75008604026075,2625045.0,17.902152662086436,64.2560451652128,1837972.0,50.981733006567445,98.61012458966971,10863614.0,26.70601223995264,76.46753357053525,4283139.0,19.829638859440184,67.08272532961233,2656454.0,14.534417122165467,58.11050008471865,1837394.0,51.36262236510581,99.57879886125907,9479335.0,28.629037532183226,79.10337044851013,3763755.0,21.378660627004997,69.63617207088775,2308242.0,17.818379892883204,64.16720899936045,1663302.0,0.0
0,56.48166244441079,100.30073075907157,18062817.0,44.3236686125759,90.96796997710636,14676061.0,37.20628244138178,86.02200830411121,11001450.0,31.610383307403175,80.84092105105687,8329666.0,44.10154238548278,94.69342643978715,5736895.0,28.516144965648277,79.47402631313875,1941587.0,20.701138288058818,69.14917680835606,605073.0,15.063992991973125,59.794951873451964,270883.0,33.918633228235876,85.65765483121714,2339298.0,12.30450496344536,54.28158171292629,362800.0,4.9638859440183944,35.01813725350253,112668.0,3.6416251325191724,30.05865890074321,83139.0,43.472217441588306,94.27004186757527,5266979.0,27.764348212195895,78.61206412017167,1638823.0,20.5180880064986,68.88657591884001,565922.0,14.869437636821743,59.43558540296845,259143.0,0.0
0,44.2827305145186,91.9293460531563,12599278.0,27.58116885351985,77.04377362021768,5834173.0,21.769934669769107,69.33951090245863,4888457.0,17.951671806804256,63.56295379039735,3214185.0,40.14304670182154,90.31685824258126,8535679.0,23.090791122248074,71.91047131267335,3111640.0,18.08524596935193,64.49300813199714,2038828.0,14.133612025168317,57.58379587673425,1391227.0,38.68658355247759,88.83648844357121,8179748.0,21.72785725103606,69.79050611700914,3461198.0,15.817624361498535,60.53485143404629,1933475.0,10.783954165576683,50.446953055219964,1385467.0,39.80422271481874,90.26700631034386,7790130.0,22.80297669039391,71.56393195993968,2925834.0,17.70222941994465,63.910355804333584,1842375.0,13.954767936556015,57.26116178213541,1293574.0,0.0
0,67.89029649874021,108.52905588629976,14973359.0,36.10501025732814,86.72145469613204,6543208.0,28.62814259751346,78.68258224858768,5142553.0,22.714219823491348,71.05827368186388,3286184.0,67.19730211617629,108.99139212612351,13431864.0,36.80997611212843,87.84255992107632,5421635.0,27.616315691646818,77.98928017899205,3150395.0,22.839027068331703,71.76231866473253,2393317.0,73.74285773292395,108.9456652640295,21164174.0,41.65801964725806,91.1676692455514,10400167.0,33.76613463947901,83.58441593044157,8814343.0,28.209989536148477,77.3796215868907,6173026.0,66.01102318569205,108.46747369039967,12837769.0,36.54189326871446,87.73464852445755,4939722.0,27.85970005920337,78.36803816993346,2926669.0,22.77106710633201,71.72358044256289,2191503.0,0.0
0,75.7143988104253,109.25426195110747,25394866.0,61.59681816304333,101.72128454516665,21152742.0,52.936571505280114,98.23626900012368,16344879.0,45.8716956258347,93.81452483662777,12021723.0,54.81126344123033,103.14888592583296,5370965.0,35.082146397543745,87.10907409207151,1290035.0,24.48806122729964,74.71286726233646,448955.0,17.4875122193003,64.14042267132791,237210.0,28.470720147044652,79.65953687995498,1012521.0,8.87938690091008,46.50879142448444,144862.0,3.6331731629744874,30.043686869982714,58570.0,2.3263000647106606,24.085359669742218,42278.0,53.87226700720078,102.59167151507984,4834179.0,34.25162120857485,86.2598923665175,1179904.0,23.82513837066817,73.80766843117117,420087.0,16.99924618964354,63.30497921661511,224954.0,0.0
0,84.83016549407277,115.16557581979143,20242058.0,63.50916103316766,105.01875306830048,16939475.0,50.41536671669122,97.87045851835386,11882122.0,39.50804924894329,89.25291043641741,8640729.0,81.61268604314962,115.71708170856829,13981576.0,56.7678866461979,103.1693858766618,10627687.0,43.253211438641905,93.80138718240057,6241590.0,34.851817749996556,86.22959462077036,3898727.0,85.59302501686608,115.82713570475046,19188104.0,55.18721861188749,102.07364001196224,10202789.0,37.88772872464926,88.93868919002999,5321323.0,27.616467142129395,77.8349084020121,3603573.0,80.76439123790117,115.64753791667151,12585604.0,55.66776583001749,102.83110358153274,9155120.0,42.54308077818012,93.41407491157571,5312202.0,34.582673032176345,86.0425954522071,3466145.0,0.0
0,50.38094787349754,98.3190970222556,10736577.0,27.101573363990582,76.79820222965856,4796385.0,20.942140752571216,68.5872297322486,3434557.0,16.404808208616156,61.3091189986556,2318777.0,49.78437237543198,98.20799714958417,10302386.0,27.739646294282057,77.90769772508837,4016504.0,20.89270765926395,68.85661419489688,2397766.0,17.200472250141125,63.0507874804117,1801338.0,55.21408558329088,99.64747440579472,15836306.0,31.69255552037009,81.59509153937069,7622372.0,25.86839641475403,74.69663016707725,6411994.0,21.178739105891424,68.3071029182317,4321020.0,49.25665177403588,98.01343175117657,9636481.0,27.46345912902204,77.69836097738,3626364.0,21.087934215417658,69.22905336747881,2187404.0,17.14131018435654,62.997084064127215,1667286.0,0.0
0,105.86041084385455,119.83188885282352,26261012.0,89.23507524335339,114.66432552546725,24347818.0,72.9918406052512,110.64890646537431,17044701.0,58.92949980036073,103.70782579346731,12997704.0,104.89295548732635,121.0916619918668,20310036.0,82.88723823160909,115.33089498582693,17120654.0,65.21187750409605,108.59221031262555,10344197.0,53.39964512398287,101.88045939723789,6539643.0,107.44208740069668,119.60479781356176,27516466.0,81.22833397585053,114.45964509752267,17332489.0,58.993380925500134,105.04091220051782,9338560.0,45.33050797868679,95.49739063254101,6383375.0,102.69918836309564,121.16017801853613,17608508.0,81.98987863309056,115.45511776723767,15401405.0,64.60884470818246,108.52462493073214,9114314.0,53.31613567209594,101.90099215998195,6097972.0,0.0
0,59.19808174195592,103.04120298890037,14940839.0,33.2493787088158,83.6870801946095,6736025.0,25.093253913618152,74.29526436371492,4214641.0,18.821747945092316,65.3056121369901,2862629.0,53.34619859288733,100.78076299920907,10287762.0,29.363782338120085,79.86285375220986,4243413.0,22.454547644944995,71.11967924956602,2692040.0,18.494124409687323,65.27611740225429,1729486.0,54.98255565805235,100.89262595450515,12768906.0,29.85993411904008,80.09521092135135,5435313.0,22.89945236882323,71.4970911709439,3373021.0,17.154785835249413,62.706373010726494,2390172.0,53.23524906720271,100.84489912043803,9933983.0,28.36677348515097,78.80037429743669,3603605.0,22.46104968952651,71.17440747395648,2518292.0,18.686698861367734,65.61454749563855,1661355.0,0.0
