,area_ratio,gabor_mean_1,gabor_std_1,gabor_energy_1,gabor_mean_2,gabor_std_2,gabor_energy_2,gabor_mean_3,gabor_std_3,gabor_energy_3,gabor_mean_4,gabor_std_4,gabor_energy_4,gabor_mean_5,gabor_std_5,gabor_energy_5,gabor_mean_6,gabor_std_6,gabor_energy_6,gabor_mean_7,gabor_std_7,gabor_energy_7,gabor_mean_8,gabor_std_8,gabor_energy_8,gabor_mean_9,gabor_std_9,gabor_energy_9,gabor_mean_10,gabor_std_10,gabor_energy_10,gabor_mean_11,gabor_std_11,gabor_energy_11,gabor_mean_12,gabor_std_12,gabor_energy_12,gabor_mean_13,gabor_std_13,gabor_energy_13,gabor_mean_14,gabor_std_14,gabor_energy_14,gabor_mean_15,gabor_std_15,gabor_energy_15,gabor_mean_16,gabor_std_16,gabor_energy_16,font_type
0,0.07995340463835646,58.02158513582355,100.09061595726892,20538806.0,47.986959769244535,93.24823924411601,16699887.0,41.065393908936954,89.1472503958976,12946405.0,34.59089954702537,83.61661299180068,9367063.0,35.63619184645675,87.53507292086611,1967728.0,21.288406465558783,70.14250830445428,417670.0,14.882787652655203,59.51333912199586,186826.0,10.657135038757556,50.80446181327352,117295.0,13.080456347840453,55.94062319292551,270085.0,2.662869504756922,25.778760510827116,37219.0,0.9361464113119742,15.318887401864545,14382.0,0.7512580716223101,13.732558400438137,11197.0,34.947985364376095,86.87176145570889,1720747.0,20.754023763957537,69.34335573497457,386476.0,14.422226735140642,58.639920913731,179542.0,10.498685134446724,50.44076398372649,115884.0,0.0
0,0.031448934928825355,64.8135386405254,107.03880688748936,13831773.0,32.698334733102946,83.21096549527775,6153992.0,24.928627239057704,74.0505782362639,4282321.0,20.913342787514974,68.52144912831713,2828960.0,64.59752378460988,107.89407359891749,11767280.0,35.749571463975435,86.64189569056919,5738917.0,25.30036589059768,74.96265511844489,3162643.0,21.842828819650013,70.25735960081408,2549654.0,73.4589706874475,109.35812176390817,19932494.0,43.4227172281808,91.83052810253756,11590045.0,30.28294047996035,79.87324847658735,8133968.0,24.540580124189397,72.42754921277283,6506357.0,63.40698875135961,107.24178712987724,11351202.0,34.88987312580028,85.97782037153341,5028417.0,25.210930938579946,74.9516574096064,2815887.0,21.885055967837424,70.37473408985406,2404612.0,0.0
0,0.042701989208716394,58.364470749404525,100.94658012848717,18915395.0,41.367348308573476,90.48423343393382,11010969.0,32.51419848274153,82.5065730318685,7771796.0,27.666616183172476,77.06397713707419,5522274.0,45.616295039308284,95.87439278450256,6152185.0,28.51932714681059,79.30943481244468,2632068.0,19.896509410582258,67.68296816751717,1195447.0,14.352912323938813,58.27164201842466,553769.0,32.59349141551128,84.11455520511387,2366685.0,14.734694896118738,58.97399012697014,695245.0,7.258923531274525,42.07533868096458,250755.0,4.4855898307885065,33.2460710057942,147163.0,45.315956685161986,95.74540848569848,5620660.0,28.135312401040878,78.86643244126276,2463141.0,19.94186883011386,67.75486994111252,1180985.0,14.451589197450124,58.46198802779892,553247.0,0.0
0,0.02914466737064414,50.40953415208382,98.08673289973552,11231143.0,29.3634742740703,79.04696494350713,5923714.0,20.126578182869572,67.45965778278773,3191334.0,16.445847847337912,61.61158329183356,1995485.0,48.35331504454021,97.4923613176997,8617053.0,27.15963052966364,77.05565473347497,4195267.0,18.675360727513045,65.49419128495687,1928597.0,15.106106552298606,59.55778728066123,1020355.0,50.11921218212609,97.6246998886716,11672236.0,28.32590594925032,78.07488069262443,5642157.0,20.20178367363798,67.65280367991808,2946442.0,17.480918960223597,63.40912578166302,2102191.0,47.720591069928815,96.98309847369553,8450596.0,27.07161542592006,77.08219380943308,3866034.0,18.44700782035219,65.21264667312396,1641975.0,15.061824496427146,59.51216153940809,915213.0,0.0
0,0.02049311839625669,36.94115804546268,87.24133524005784,7260154.0,22.668185760900993,71.05961853767361,3621558.0,16.777956382261017,62.176606689955634,2165550.0,14.209657377703735,57.40286432886131,2007481.0,37.14150293951619,87.77622657204284,6923752.0,24.13487009679063,73.02872920870493,4009538.0,18.09927062824414,64.35792945570836,2467715.0,14.912604466412413,58.880893793144445,1920125.0,40.285262147017114,89.57132608631227,9940067.0,27.126579903897785,75.86085465690874,6397763.0,20.5208485357492,67.49652403830774,4468078.0,15.313361374619653,58.82077752030213,3467302.0,35.895495724965926,86.64054669081833,6254702.0,23.297021932783522,72.12611965458285,3236258.0,17.617088433313597,63.721648948438684,1962036.0,14.698472415359833,58.56567751662483,1654146.0,0.0
0,0.020913826099516142,41.185266965896105,90.78516318798704,8947581.0,21.432217303906047,69.08399088326108,4154669.0,16.148562597238094,60.7802909342848,2745520.0,13.700864644573254,56.32544210758143,1979348.0,40.97994657928433,91.27610203764108,7854466.0,22.80532245184563,71.26021439949581,3774861.0,15.930017829852266,60.708809973135196,2035197.0,13.676315898170202,56.57062549269467,1637316.0,45.57925507014911,93.34270922080798,12250111.0,26.64618241522215,75.25030381417591,6687893.0,18.43937850229241,64.18900450220839,4433162.0,15.705091489859702,59.33643258395622,3611760.0,40.315636573914716,90.64336554443399,7570578.0,22.13190476518291,70.41311572363253,3472007.0,15.89547507262739,60.67699116630689,1937240.0,13.87471603034517,56.96913593041879,1610958.0,0.0
0,0.08361092604930047,57.3850680150349,100.43342706299548,19125687.0,45.752189147884515,91.95828506921585,15235320.0,39.16621346257108,87.84777700540539,11683592.0,33.87134281505143,83.28162207499383,8480140.0,41.75238190304415,92.91183459902189,4506522.0,26.470916344260715,77.10959973563473,1116711.0,18.481524762153903,65.73920453908352,363687.0,13.02497384037119,55.87288944406391,181183.0,24.940115102366757,75.095767706974,1103594.0,8.013952375707342,44.24242360666774,162959.0,3.711035921300822,30.379954527603765,62982.0,2.206280720353568,23.46986152303421,43883.0,41.17241776927207,92.48589019199699,4071523.0,25.830581982899865,76.31078996407118,996304.0,18.117659814679683,65.14789580085852,339014.0,12.730881097602952,55.27400540414891,172473.0,0.0
0,0.03222344547425197,45.23649164957112,92.91358366514594,13200103.0,30.29854332172213,80.18900009820501,6430500.0,23.477619749142928,71.99599743407266,4343220.0,18.494850683592407,64.5708665322636,3123960.0,41.72952492737261,91.65908301313708,9203675.0,25.770452699260645,75.40029704523349,3902972.0,19.812437182470294,67.21182666833178,2345349.0,15.212677782214206,59.56288160706374,1604308.0,38.517776500392394,88.73257806074476,8369797.0,23.98202558136333,73.0404702449204,3448680.0,16.835202943646653,62.326026799399244,2002351.0,11.841918395726342,52.766914770752635,1455171.0,40.57571835717531,90.94616344419875,8025618.0,25.347647698641076,74.96967618133093,3455420.0,19.404995800691164,66.63763999152815,2115544.0,14.918092825377594,59.04822007230017,1476258.0,0.0
0,0.039457875269260145,56.45854215142295,101.27977029378033,14613029.0,33.90564634935496,83.87510298750075,7497610.0,23.709795059960623,72.24863105227861,4592153.0,20.82854772755435,68.09958887647842,3781308.0,49.350652613897644,97.86931365482528,9672752.0,28.533066115019757,78.82853188020471,4239295.0,21.848700967906264,70.230331510473,2674824.0,18.295116754553842,64.87533641059174,1939925.0,49.35527013258801,97.49608525247478,10375693.0,26.811325398245927,76.65208870940943,4241495.0,20.781878605554102,68.58015099415341,2648139.0,15.942658782062756,60.7256714332363,1938394.0,48.61388215775633,97.54381757862701,8952229.0,27.765563258112927,78.06256319208151,3643451.0,21.92121993363715,70.38892948543776,2499857.0,18.370621704230977,65.03344196326059,1838811.0,0.0
0,0.0424196750238953,49.303190097892085,95.27867690380691,15127326.0,35.22219506822156,84.16650468941506,9870012.0,25.939187468160977,74.72104760438638,6535657.0,21.209110090732608,68.3008259723416,4691377.0,42.00822995690545,92.08302697661446,8163502.0,25.88057957346037,75.70408364899109,3397255.0,19.117267420247554,66.27606674945805,1795370.0,15.195708444052816,59.719901202976494,976348.0,38.02795810328923,88.80772541095789,6300331.0,19.36419710591896,66.71011476790241,1667612.0,10.475361760129973,50.01743406175475,886814.0,8.746786840329886,45.973903231434896,482505.0,41.68587793091104,92.0766090855879,7280486.0,25.347377497211934,75.1443819291467,2884815.0,19.125122193002987,66.31678221331315,1696054.0,15.293948176398507,59.90518256691683,975888.0,0.0
